World Bank Analytical Classifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

GNI per capita in US$ (Atlas methodology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Country Name,Country Code,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Micronesia, Fed. Sts.",FSM,,,,,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Moldova,MDA,,,,,LM,LM,LM,LM,LM,L,L,L,L,L,L,L,L,L,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Monaco,MCO,,,,,,,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
Mongolia,MNG,,,LM,LM,LM,LM,L,L,L,L,L,L,L,L,L,L,L,L,L,L,LM,LM,LM,LM,LM,LM,LM,UM,LM,LM,LM,LM
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Morocco,MAR,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM
Mozambique,MOZ,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
Myanmar,MMR,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,LM,LM,LM,LM,LM
Namibia,NAM,,,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,LM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM,UM
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,UM,UM,UM
